adk,adik
ak,aku
ank,anak
aq,aku
ats,atas
awk,awak
awl,awal
ayh,ayah
aym,ayam
bg,bagi
bgn,bangun
bhg,bahagian
bhs,bahasa
bhsa,bahasa
bkn,bukan
blh,boleh
blkg,belakang
bln,bulan
bnyk,banyak
bpk,bapa
brt,berat
btg,batang
cg,cikgu
da,sudah
dah,sudah
ddk,duduk
dgn,dengan
dgr,dengar
dh,sudah
dik,adik
dkt,dekat
dll,dan lain-lain
dlm,dalam
dlu,dulu
dngr,dengar
dpn,depan
dpt,dapat
dr,dari
drpd,daripada
dsb,dan sebagainya
dtg,datang
fhm,faham
g,pergi
hb,hari bulan
hdp,hadap
hj,haji
hr,hari
hri,hari
j,sahaja
ja,sahaja
jd,jadi
jgn,jangan
jln,jalan
k,ok
kat,dekat
kg,kampung
klau,kalau
km,kalau
kmpg,kampung
kmpln,kumpulan
kn,kan
kondo,kondominium
korang,kamu semua
kpd,kepada
krn,kerana
krna,kerana
ku,aku
kump,kumpulan
kwn,kawan
la,la
lah,la
lbh,lebih
lbih,lebih
lg,lagi
lpr,lapar
mau,mahu
mcm,macam
mkn,makan
mknn,makanan
mlm,malam
mls,malas
mn,mana
mna,mana
mrk,mereka
msk,masak
mslh,masalah
ni,ini
nk,nak
nmpk,nampak
org,orang
pa,apa
pak,bapa
pd,pada
pdg,padang
pe,apa
pg,pagi
pi,pergi
pkul,pukul
plg,paling
pling,paling
pon,pun
pp,pipi
prof,profesor
ptg,petang
pyh,payah
rmh,rumah
sbb,sebab
sblm,sebelum
sklh,sekolah
skrg,sekarang
slm,salam
soklan,soalan
takkan,tidak akan
tau,tahu
tdk,tidak
tetiba,tiba-tiba
tk,tidak
tkkn,tidak akan
tkt,takut
tkut,takut
tn,tuan
tngk,tengok
tp,tapi
tu,itu
utk,untuk
x,tidak
yg,yang
