Raw,CD-Malaya,CD-RE,Polarity
Time raya juak sik blh merentas 😀😀 tpi bazaar blh bukak 🙉 kali rah bazaar sikda covid kkya time raya covid auto ada #KerajaanGagal,masa raya juak sik boleh merentas tapi bazar boleh buka buka kali rah bazar sikuda covid kikyo raya masa covid auto ada <hashtag>kerajaangagal</hashtag>,time raya juak sik blh merentas tpi bazaar blh bukak kali rah bazaar sikda covid kkya time raya covid auto ada ,1
@501Awani Guna saluran yang betul is not valid anymore. Banyak isu sekarang yang at least ada penyelesaian semua gu… https://t.co/iCT2wJuiNL,<user> guna saluran yang betul tidak sah lagi. isu yang kini sekurang-kurangnya ada semua gu ... <url>, guna saluran yang betul is not valid anymore banyak isu sekarang yang at least ada penyelesaian semua gu ,-1
"Kan dah kata, lelaki Melayu Isle Konservatif takleh kawal emosi &amp; nafsu macam natang liar 

Dayus. Inilah sebab uta… https://t.co/u5qDnSbTrY","kan dah kata, melayu lelaki konservatif pulau akleh kawal emosi dan nafsu nafsu natang pembohong dayus. sebab uta ... <url>",kan dah kata lelaki melayu isle konservatif takleh kawal emosi amp nafsu macam natang liar dayus inilah sebab uta ,-1
"@501Awani Kenapa tak ajak rakyat join sekali berbuka? Kan kerajaan PN ni ""prihatin"" so tak salah kan ajak rakyat be… https://t.co/AYfKNRokPV","<user> kenapa tidak ajak rakyat berbuka? kan kerajaan sekali pun ""prihatin"" jadi tidak salah kan ajak rakyat jadi ... <url>", kenapa tak ajak rakyat join sekali berbuka kan kerajaan pn ni prihatin so tak salah kan ajak rakyat be ,-1
#CoronavirusIndia #FlipFlop #flipped #sports #soutienauxgeneraux #วิชาสามัญ64 #تجمع_البيضات #fight #KerajaanGagal… https://t.co/RXEBQwWn0f,<hashtag>coronavirusindia</hashtag> <hashtag>flipflop</hashtag> <hashtag>flipped</hashtag> <hashtag><sukan> <hashtag>soutienauxgeneraux</hashtag> <hashtag>w</hashtag>i chaasaam a y64 <hashtag>tjm`_lbyDt</hashtag> <hashtag></hashtag> <hashtag>kerajaangagal</hashtag> ... <url>,,0
"Errr no, #KerajaanGagal adalah musuh kita bersama https://t.co/EuL9ZtA0Zd","sesat <elongated> tidak, <hashtag>kerajaangagal</hashtag> adalah musuh kita <url>",errr no adalah musuh kita bersama ,-1
"Ingat bulan Ramadhan ni setan digari...

...tapi rupanya byk setan diam &amp; membiarkan kerosakan berlaku...

Byk juga… https://t.co/Zgzieo4TDm",bulan ramaingat ini dan setan digari . <repeated> . <repeated> rupanya banyak setan diam dan membiarkan kerosakan berlaku . <repeated> banyak lagi ... <url>,ingat bulan ramadhan ni setan digari tapi rupanya byk setan diam amp membiarkan kerosakan berlaku byk juga ,-1
@faizxzikry isu semasa lepatu #KerajaanGagal  lepastu fazura,<user> semasa lepat isu <hashtag> kerajaangagal</hashtag> lepas fazura itu, isu semasa lepatu lepastu fazura,0
#EatYourFriendsDay #FindYourStar #NFLDraft #TalksWithJaDinesEp1 #saveเพนกวิน #KerajaanGagal #IZONE #wednesdaythought https://t.co/3Je2jbLiRt,<hashtag>eatyourfriendsday</hashtag> <hashtag>findyourstar</hashtag> <hashtag>nfldraft</hashtag> <hashtag>talkswithjadinesep1</hashtag> <hashtag>saveephnkw</hashtag>i n <hashtag>findyourstar</hashtag> <hashtag>nfldraft</hashtag> <hashtag>wednesdaythought</hashtag> <url>,,0
"Betul tuu. Rakyat Malaysia kena bersatu. 

Tak payah peduli VVIP, Menteri, Selebriti ke sesiapa yang buat hal. Peeg… https://t.co/yi2RGiCLI6","itu. rakyat malaysia kena bersatu. tidak payah peduli <allcaps> vvip</allcaps>, menteri, selebriti ke buat buat hal itu. pasak sesiapa ... <url>",betul tuu rakyat malaysia kena bersatu tak payah peduli vvip menteri selebriti ke sesiapa yang buat hal peeg ,0
