Raw,CD-Malaya,CD-RE,Polarity
Salah satu biang kerok musibah tenggelamnya #KRINanggala402 adalah kedunguan penyelenggara negara yg gagal mencegah… https://t.co/HCT697mp4O,['salah satu salah satu keorok musibah tenggelamnya <hashtag>krinanggala402</hashtag> adalah kedunguan penyelenggara yang negara mencegah gagal... <url>'],salah satu biang kerok musibah tenggelamnya adalah kedunguan penyelenggara negara yg gagal mencegah ,-1
ہم #عالم_اسلامی میں #انڈونیشی_آبدوز کے ڈوبنے اورعملے کی موت پر افسردہ ہیں۔انڈونیشا کے صدر جناب جوکو ویدودو @jokowi… https://t.co/fjpG5Vpd2e,['hm <hashtag> `lm_slmy</hashtag> myN <hashtag> nddwnyshy_abdwz</hashtag> khy ddwbny wr`mly khy mwt pr fsrdh hyN. nddwnysh khy Sdr jnb jwkhw wydwdw <user>... <url>'],,0
Le #MondeMusulman a appris avec tristesse la mort de l’équipage du sous-marin indonésien #KRINanggala402 nous prése… https://t.co/TOgLqOzNUr,"[""lah <hashtag>mondemusulman</hashtag> a appris avec tristesse lah mort ada l'equipage du sous-marin indoesimen <hashtag>krinanggala402</hashtag>nous prese... <url>""]",,0
"Kami &amp; muslim dunia berduka telah mendengar kabar tenggelamnya #KRINanggala402 &amp; kematian awaknya.
Dengan rasa sedi… https://t.co/vZHg1AO8t1",['kami dan muslim dunia ka telah mendengar khabar tenggelamnya <hashtag> krinanggala402 </hashtag> dan kematian awaknya. dengan rasa sedi ... <url>'],kami amp muslim dunia berduka telah mendengar kabar tenggelamnya amp kematian awaknya dengan rasa sedi ,-1
"Geger Penampakan Awan Mirip KRI Nanggala 402 di Bali, Ini Faktanya

Baca selengkapnya disini… https://t.co/vSI6RtSQd9","['geger pentampakan awan <mirip allcaps>kiri</allcaps> nunggal <number> di bali, ini faktanya baca selengkapnya disini... <url>']",geger penampakan awan mirip kri nanggala di bali ini faktanyabaca selengkapnya disini ,1
#KRINanggala402 https://t.co/9QCECCyC8u,['<hashtag>krinanggala402</hashtag> <url>'],,0
"Barangkali karena terlalu dalam, penampakan dari permukaan cuma bisa dirasakan, semangat pahlawan serta amalan yang… https://t.co/fCw6hvFK3H","['barangkali karena terlalu banyak, pentampakan dari permukaan hanya dapat dirasakan, semangat dan amalan yang juga ... <url>']",barangkali karena terlalu dalam penampakan dari permukaan cuma bisa dirasakan semangat pahlawan serta amalan yang ,1
#KRINanggala402 https://t.co/LiOgNmDpzJ,['<hashtag>krinanggala402</hashtag> <url>'],,0
Ada yang langsung menghubungkan awan unik itu dengan kapal selam KRI Nanggala 402. #KRINanggala402 https://t.co/4bBeUAKbSv,['ada yang langsung menghubungkan awan unik dengan kapal selam <allcaps> kiri</allcaps> nunggal <number> . <hashtag> krinanggala402</hashtag> <url>'],ada yang langsung menghubungkan awan unik itu dengan kapal selam kri nanggala ,0
Mendengar ini sepemahaman sy satu2nya cara agar tidak terjadi kecelakaan adalah maintenance kasel harus paripurna.… https://t.co/7QsonnMx6G,['Ini sepeman mahaman saya satu2nya agar tidak terjadi terjadi kecelakaan penyelenggaraan kassel harus paripurna . ... <url>'],mendengar ini sepemahaman sy satunya cara agar tidak terjadi kecelakaan adalah maintenance kasel harus paripurna ,0
"@_TNIAL_ Al-Fatihah .. 🤲 Amiin YRA 🙏🇲🇨
#jalesvevajayamahe 
#tnial 
#IndonesianNavy 
#KRINanggala402",['<user> al-fatihah . <repeated> amilin <allcaps> yuri</allcaps> <hashtag> jalesvevajayamahe</hashtag> <hashtag> tonioli</hashtag> <hashtag> indonesiannavy</hashtag> <hashtag> krinanggala402</hashtag>'], al fatihah amiin yra ,0
"Tentunya pula bagi mereka yang wafat dalam Iman dan Islam, Rasulullah ﷺ telah bersabda dalam hadis Riwayat Muslim 1… https://t.co/Ywo0WlD9yP","['tentunya bagi mereka yang wafat dalam iman dan islam, rasulullah telah bersabda dalam hadis riwayat muslim <number>... <url>']",tentunya pula bagi mereka yang wafat dalam iman dan islam rasulullah ﷺ telah bersabda dalam hadis riwayat muslim ,0
