Raw,CD-Malaya,CD-RE,Polarity
"Abdul Hadi kini sedang menerima rawatan susulan di Institut Jantung Negara atas nasihat doktor. #sinarharian 

https://t.co/tFyTea1f5G",abdul hadi kini menerima rawatan rawatan rawatan susulan di institut jantung negara atas nasihat doktor. <hashtag>sinarharian</hashtag> <url>,abdul hadi kini sedang menerima rawatan susulan di institut jantung negara atas nasihat doktor ,-1
Neymar dan Kylian Mbappe mampu jadi igauan ngeri buat Manchester City dalam pertemuan separuh akhir pertama Liga Ju… https://t.co/MeMqHCjQmN,neymar dan kyliean mbappe mampu igauan ngeri buat manchester pertemuan dalam separuh akhir pertama liga ju ... <url>,neymar dan kylian mbappe mampu jadi igauan ngeri buat manchester city dalam pertemuan separuh akhir pertama liga ju ,-1
"Kelab Bundesliga, RB Leipzig dilaporkan bersetuju dengan terma kontrak ditetapkan pengendali RB Salzburg, Jesse Mar… https://t.co/XaSaHgvyS7","kelab bundesliga, rb leipzig dilaporkan dengan terma kontrak ditetapkan pengendali rb salzburg, jesse mar ... <url>",kelab bundesliga rb leipzig dilaporkan bersetuju dengan terma kontrak ditetapkan pengendali rb salzburg jesse mar ,0
"""Sebelum itu, kita menahan dua lelaki yang juga rakan kepada suspek utama kira-kira jam 11.30 malam pada hari kejad… https://t.co/jNh5iM4PHy","""sebelum itu, kita menahan dua lelaki yang juga menjadi suspek utama kira-kira jam <number> malam pada hari kejadi ... <url>", sebelum itu kita menahan dua lelaki yang juga rakan kepada suspek utama kira kira jam malam pada hari kejad ,0
"Pengerusi MAHB, Datuk Seri Dr Zambry Abdul Kadir berkata, pihaknya tekad menjaga dan memastikan kebajikan kira-kira… https://t.co/ylDNoytUNU","pengerusi <allcaps>mahb</allcaps>, datuk seri dr zambry abdul kadir berkata, tekad dan menjaga kebajikan-kira... <url>",pengerusi mahb datuk seri dr zambry abdul kadir berkata pihaknya tekad menjaga dan memastikan kebajikan kira kira ,1
"Pengerusi UMNO Pahang, Datuk Seri Wan Rosdy Wan Ismail berkata, perkara itu diputuskan setelah kedua-dua parti bers… https://t.co/aWOptRQPJF","pengerusi <allcaps>umno</allcaps> pahang, datuk seri wan rosdy wan ismail, itu berkata perkara kedua-dua bers parti... <url>",pengerusi umno pahang datuk seri wan rosdy wan ismail berkata perkara itu diputuskan setelah kedua dua parti bersatu,0
"ASTAF dalam satu kenyataan memaklumkan penggantungan itu, sehingga perbicaraan diadakan, telah diserahkan kepada PS… https://t.co/X4wDMlcGS2","<allcaps>staf</allcaps> dalam satu kenyataan memmaklumkan pengantungan itu, sehingga perbicaraan diadakan, telah diserahkan kepada ps... <url>",astaf dalam satu kenyataan memaklumkan penggantungan itu sehingga perbicaraan diadakan telah diserahkan kepada ps ,-1
"Datuk Masidi Manjun yang juga jurucakap kerajaan negeri mengenai Covid-19 berkata, keputusan itu dibuat berdasarkan… https://t.co/WZ6fUuqQIR","datuk masidi manjung yang juga kerajaan negeri mengenai covid - <number> berkata, keputusan itu dibuat berdasarkan ... <url>",datuk masidi manjun yang juga jurucakap kerajaan negeri mengenai covid berkata keputusan itu dibuat berdasarkan ,0
"Muhyiddin turut menunaikan solat Maghrib, Isyak dan solat sunat tarawih berjemaah yang diimamkan Imam Besar Masjid… https://t.co/72uO4Pan1j","muhyiddin turut mentunaikan solat maghrib, isyak dan solat sunat tarawih berjemaah yang diimamkan imam besar masjid... <url>",muhyiddin turut menunaikan solat maghrib isyak dan solat sunat tarawih berjemaah yang diimamkan imam besar masjid ,1
"Perkara itu disahkan Setiausaha Politik, Datuk Sham Mat Sahat selepas Majlis Sambutan Nuzul Al-Quran peringkat nege… https://t.co/I5YKDDdQKi","perkara itu setiausaha politik, datuk syam mat saat majlis sambutan nuzul al-quran peringkat ngee... <url>",perkara itu disahkan setiausaha politik datuk sham mat sahat selepas majlis sambutan nuzul al quran peringkat nege ,0
"Pada majlis itu, Sultan Nazrin turut berkenan menyampaikan bantuan hari raya daripada dana zakat MAIPk berjumlah RM… https://t.co/urJAInT6Tk","majlis itu pada majlis itu, sultan nazrin berkenan bantuan khalwat hari raya dana dana zakat maik ringgit... <url>",pada majlis itu sultan nazrin turut berkenan menyampaikan bantuan hari raya daripada dana zakat maipk berjumlah rm ,1
"Anugerah yang membawa gelaran Knight of the National Order of Merit, anugerah kedua tertinggi di negara itu, disamp… https://t.co/7jBuwVINUX","anugerah yang gelaran kesateria kesateria yang Nasional perintah daripada merit, anugerah kedua tertinggi di negara itu, disa... <url>",anugerah yang membawa gelaran knight of the national order of merit anugerah kedua tertinggi di negara itu disamp ,1
"“Pengumuman rasmi akan dilakukan pada mesyuarat exco MPM selepas hari raya Aidilfitri nanti."" - Datuk Seri Megat D… https://t.co/JIYkKki5Nq","""pengumuman rasmi akan dilakukan pada mesyuarat exco <allcaps>mpm</allcaps> selepas hari raya aidilfitri."" - datuk seri megat nanti ... <url>", pengumuman rasmi akan dilakukan pada mesyuarat exco mpm selepas hari raya aidilfitri nanti datuk seri megat d ,0
"""Kami mendapati majoriti pekerja asing di negara ini tinggal di asrama yang sesak, padat, kabin tapak pembinaan dan… https://t.co/cSRZJBbBfr","""Kami mendapati pekerja majoriti asing di negara ini tinggal di asrama yang, sesak, kabin tapak dan pembinaan ... <url>", kami mendapati majoriti pekerja asing di negara ini tinggal di asrama yang sesak padat kabin tapak pembinaan dan ,-1
"Menterinya, Datuk Seri Nancy Shukri berkata, iftar yang dijalankan secara dalam talian di Facebook rasmi JKKN pada… https://t.co/CZ0fG7mHhc","menterinya, datuk seri nancy shukri berkata, iftar yang dijalankan secara bergilir-gilir di facebook <rasmi allcaps> jkkn</allcaps> pada ... <url>",menterinya datuk seri nancy shukri berkata iftar yang dijalankan secara dalam talian di facebook rasmi jkkn pada ,0
"Tan Sri Mohd Khairul Adib Abd Rahman berkata, JPA sudah mengeluarkan surat yang memberikan tempoh sebulan kepada se… https://t.co/FFFfte0wGX","Tan sri mohd khairul adib abd rahman berkata, <allcaps>jpa</allcaps> sudah mengeluarkan surat yang diberikan tempoh sebun kepada sebuse... <url>",tan sri mohd khairul adib abd rahman berkata jpa sudah mengeluarkan surat yang memberikan tempoh sebulan kepada se ,0
Polis Perak akan meningkatkan SJR di kawasan yang bersempadan dengan negeri bagi mengekang pergerakan rentas negeri… https://t.co/ZRrtqpzlgR,polis perak akan meningkatkan <allcaps>sjrh</allcaps> di kawasan yang bersempadan dengan negeri untuk menglekang pergerakan rentas ... <url>,polis perak akan meningkatkan sjr di kawasan yang bersempadan dengan negeri bagi mengekang pergerakan rentas negeri ,-1
"Ayub Jamil berkata, tempoh operasi yang dibenarkan ketika ini adalah memadai, cukup untuk membantu peniaga, dan ker… https://t.co/tYhMv956Ca","ayub jamil berkata tempoh, operasi yang dibenarkan ini memadai, cukup untuk membantu penniaga, dan ker ... <url>",ayub jamil berkata tempoh operasi yang dibenarkan ketika ini adalah memadai cukup untuk membantu peniaga,0
"Datuk Mat Kasim Karim berkata, tindakan undang-undang boleh diambil di bawah Seksyen 8 Akta Bahan Letupan 1957(Akta… https://t.co/bqbCMm176X","datuk mat kassim karim berkata, tindakan undang-undang diambil di bawah seksyen <number> akta bahan letupan <number> (akta ... <url>",datuk mat kasim karim berkata tindakan undang undang boleh diambil di bawah seksyen akta bahan letupan akta ,-1
