Raw,CD-Malaya,CD-RE,Polarity
"Semoga kita semua sentiasa berada di bawah lindunganNya dan dijauhkan dari segala ujian…ameen 🤲🏼🤲🏼

#covid_19… https://t.co/74WDFFp0JG",['semoga kita semua sentiasa berada di bawah lindungannya dan dijauhkan dari ujian... amin <hashtag>covid_19</hashtag> ... <url>'],semoga kita semua sentiasa berada di bawah lindungannya dan dijauhkan dari segala ujian ameen ,1
"Bergegar..kan..😉
#covidMalaysia #covid19Malaysia https://t.co/aoNhFwSrSQ",['bergegar . <repeated> kan . <repeated> <hashtag> covidmalaysia</hashtag> <hashtag> covid19malaysia</hashtag> <url>'],bergegar kan ,0
"Daily Covid-19 updates. 3142  New Positive Cases &amp; 15 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/Hq4GTuiMZi",['setiap hari covid - <number> kemaskini . <number> kes positif baru dan <number> kematian dilaporkan hari ini . <hashtag> covid19</hashtag> <hashtag> covidmalaysia</hashtag> <hashtag> covid</hashtag> <url>'],daily covid updates new positive cases amp deaths reported today ,0
Salam 3K #CovidMalaysia 🤝,['salam 3okay <hashtag>covidmalaysia</hashtag>'],salam k ,0
"Daily Covid-19 updates. 2733  New Positive Cases &amp; 13 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/QUiVhrA1Yw",['setiap hari covid - <number> kemaskini . <number> kes positif baru dan <number> kematian dilaporkan hari ini . <hashtag> covid19</hashtag> <hashtag> covidmalaysia</hashtag> <hashtag> covid</hashtag> <url>'],daily covid updates new positive cases amp deaths reported today ,0
"Daily Covid-19 updates. 2776  New Positive Cases &amp; 13 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/CJyZLYOPw1",['setiap hari covid - <number> kemaskini . <number> kes positif baru dan <number> kematian dilaporkan hari ini . <hashtag> covid19</hashtag> <hashtag> covidmalaysia</hashtag> <hashtag> covid</hashtag> <url>'],daily covid updates new positive cases amp deaths reported today ,0
"Daily Covid-19 updates. 2690 New Positive Cases &amp; 10 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/OOjG1GqIJK",['setiap hari covid - <number> kemaskini . <number> kes positif baru dan <number> kematian dilaporkan hari ini . <hashtag> covid19</hashtag> <hashtag> covidmalaysia</hashtag> <hashtag> covid</hashtag> <url>'],daily covid updates new positive cases amp deaths reported today ,0
And also i request all the malaysian pls be aware about the covid-19...follow the SOP's and its our responsibility… https://t.co/lcQ7t6qKs4,"[""dan juga permintaan saya semua yang menyedari bahawa malaysian tolong jadi kira-kira yang covid - <nombor>. <repeated> ikuti yang <allcaps> tatandalian piawai </allcaps>' s dan nya tanggungjawab kami ... <url>""]",and also i request all the malaysian pls be aware about the covid follow the sop s and its our responsibility ,0
"Daily Covid-19 updates. 2717 New Positive Cases &amp; 11 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/BpyVKtjvxI",['setiap hari covid - <number> kemaskini . <number> kes positif baru dan <number> kematian dilaporkan hari ini . <hashtag> covid19</hashtag> <hashtag> covidmalaysia</hashtag> <hashtag> covid</hashtag> <url>'],daily covid updates new positive cases amp deaths reported today ,0
"Daily Covid-19 updates. 2847  New Positive Cases &amp; 8 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/o1CgrsnxxA",['setiap hari covid - <number> kemaskini . <number> kes positif baru dan <number> kematian dilaporkan hari ini . <hashtag> covid19</hashtag> <hashtag> covidmalaysia</hashtag> <hashtag> covid</hashtag> <url>'],daily covid updates new positive cases amp deaths reported today ,0
"After 1 fucking year of dumb measures that ruined many livelihood, this is what he gotta say... #KKMgagal #kkm… https://t.co/HwJCRtfXlh","[' <number> fucking tahun lalu bodoh measures itu hancur ramai penhidupan, apa ini dia gotta sayang . <repeated> <hashtag> <kkmgagal</hashtag> <hashtag>kkm</hashtag> ... <url>']",after fucking year of dumb measures that ruined many livelihood this is what he gotta say ,-1
Malaysia should lead an example as Japan! #covidmalaysia https://t.co/llxCS2P1sp,['malaysia sepatutnya memimpin contohnya sebagai jepun ! <hashtag> covidmalaysia </hashtag> <url>'],malaysia should lead an example as japan ,0
"Daily Covid-19 updates. 2875  New Positive Cases &amp; 7 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/7jeBbYJ2G3",['setiap hari covid - <number> kemaskini . <number> kes positif baru dan <number> kematian dilaporkan hari ini . <hashtag> covid19</hashtag> <hashtag> covidmalaysia</hashtag> <hashtag> covid</hashtag> <url>'],daily covid updates new positive cases amp deaths reported today ,0
4th wave? #covidmalaysia https://t.co/lvSNCcPSiO,['4 th gelombang ? <hashtag>covidmalaysia</hashtag> <url>'],th wave ,0
"Daily Covid-19 updates. 2340  New Positive Cases &amp; 11 Deaths Reported Today.

#COVIDー19 #CovidMalaysia #Covid https://t.co/9yEcHNg9b7",['setiap hari covid - <number> kemaskini . <number> kes positif baru dan <number> kematian dilaporkan hari ini . <hashtag> covid19</hashtag> <hashtag> covidmalaysia</hashtag> <hashtag> covid</hashtag> <url>'],daily covid updates new positive cases amp deaths reported today ,0
