Raw,CD-Malaya,CD-RE,Polarity
"Police are supposed to protect citizen but if they killed the citizen, who can we rely on?
#JusticeforGanapathy https://t.co/XH3EXK0rW4","['polis sepatutnya melindungi warganegara tetapi jika mereka membunuh yang, yang boleh kita bergantung pada ? <hashtag>justiceforganapathy</hashtag> <url>']",police are supposed to protect citizen but if they killed the citizen who can we rely on ,-1
@Rameshhh15 #JusticeforGanapathy ✊,['<user> <hashtag> justiceforganapathy</hashtag>'],,0
Malaysian indians are only 7% of the population but studies has shown that almost 55% of malaysian indians has died… https://t.co/7HaDZC8cNj,['malaysian indians adalah <percent> daripada penduduk yang kajian itu telah menunjukkan hampir <percent> daripada malaysian indians telah meninggal dunia ... <url>'],malaysian indians are only of the population but studies has shown that almost of malaysian indians has died ,-1
"Sorry but kenapa aq rasa yang kes saman RM 50K tu diviralkan sbb nak tutup benda2 mcm ni eh

 #JusticeforGanapathy https://t.co/kM1HgpHAML",['maaf tetapi aku rasa rasa yang kes <money> itu ditularkan sebab nak tutup bendamacam 2 ini eh <hashtag> justiceforganapathy</hashtag> <url>'],sorry but kenapa aq rasa yang kes saman rm k tu diviralkan sbb nak tutup benda mcm ni eh ,-1
#JusticeforGanapathy https://t.co/BLlip0sVWf,['<hashtag>justiceforganapathy</hashtag> <url>'],,0
"Say it rights. Ganapathy wan an Indian Malaysian.

Diaspora of Malaysian Indian should deal with Indian authorities… https://t.co/UJVsD1R5Da",['ia hak sayang. ganapathy wan malaysian India. diaspora daripada malaysian India berurusan dengan pihak berkuasa India ... <url>'],say it rights ganapathy wan an indian malaysian diaspora of malaysian indian should deal with indian authorities ,-1
#JusticeforGanapathy #JusticeforGanapathy https://t.co/2LrsxZOdzg,['<hashtag>justiceforganapathy</hashtag> <hashtag>justiceforganapathy</hashtag> <url>'],,0
"He didn’t deserve this. He’s innocent. Even though, he’s guilty. He didn’t deserve this. This could happen to any o… https://t.co/1XkSM4A4fN","['dia lakukan tidak ini. dia tidak bersalah. walaupun, dia bersalah. dia tidak melakukan ini. ini boleh berlaku ke mana-mana-o ... <url>']",he didn t deserve this he s innocent even though he s guilty he didn t deserve this this could happen to any o ,-1
#JusticeforGanapathy,['<hashtag>justiceforganapathy</hashtag>'],,0
#JusticeforGanapathy https://t.co/kvF6m65YIl,['<hashtag>justiceforganapathy</hashtag> <url>'],,0
why do i lowkey feel like this Ganapathy case gets less exposure ? come on #JusticeforGanapathy,['adakah saya rasa lowkey mengapa seperti ini ganapathy kes getas kurang pendedahan? datang pada <hashtag> justiceforganapathy </hashtag>'],why do i lowkey feel like this ganapathy case gets less exposure come on ,-1
"#JusticeforGanapathy
#JusticeforGanapathy
#JusticeforGanapathy
#JusticeforGanapathy
#JusticeforGanapathy… https://t.co/vR3EWpONTp",['<hashtag>justiceforganapathy</hashtag> <hashtag>justiceforganapathy</hashtag> <hashtag> <justiceforganapathy</hashtag> <hashtag>justiceforganapathy</hashtag> <hashtag>justiceforganapathy</hashtag> ... <url>'],,0
"We're so quick to judge. So quick to punish. That's how we are online and irl. 

This is what that behavior looks l… https://t.co/uygU44FR9e",['kami jadi cepat kepada Hakim. jadi cepat menghukum. itu kami bagaimana talian dalam talian dan irl. ini adalah apa laku lokos l ... <url>'],we re so quick to judge so quick to punish that s how we are online and irl this is what that behavior looks l ,0
"Zalim sungguh!
#PDRMgagal #JusticeForGanapathy 
https://t.co/tFVVPCn9q2",['zalim ! <hashtag> pdrmgagal</hashtag> <hashtag> justiceforganapathy</hashtag> <url>'],zalim sungguh ,-1
"The underwhelming response for #JusticeforGanapathy speaks volumes about the position of Indians in Malaysia. 

Peo… https://t.co/NoXd78k15a",['yang kurang memuaskan untuk <hashtag> justiceforganapathy</hashtag> bercakap jilid kira-kira yang menjadikan orang India masuk malaysia. peo ... <url>'],the underwhelming response for speaks volumes about the position of indians in malaysia people,0
#JusticeforGanapathy,['<hashtag>justiceforganapathy</hashtag>'],,0
"Can't stress this enough!!! #JusticeforGanapathy

Cc: @balankash ❤️ https://t.co/y93yLdKZc9",['tidak boleh tres cukup ini ! <repeated> <hashtag> justiceforganapathy</hashtag> cc : <user> <url>'],can t stress this enough cc ,-1
"Disappointing.

#JusticeforGanapathy https://t.co/oWWO7yYjn3",['mengecewakan. <hashtag> justiceforganapathy</hashtag> <url>'],disappointing ,-1
#JusticeforGanapathy https://t.co/sAGjmdOfeh,['<hashtag>justiceforganapathy</hashtag> <url>'],,0
"Push the IPCMC bill. He was someone's son, he was someone's father. How many more people need to die before somethi… https://t.co/8PSh7b0a9L","[""yang tolak <allcaps> ipcc </allcaps> bil. dia adalah seseorang anak lelaki, dia adalah seseorang seseorang dia 's. ramai lagi bagaimana lebih banyak keperluan orang mati sebelum sesuatu yang mati ... <url>""]",push the ipcmc bill he was someone s son he was someone s father how many more people need to die before somethi ,-1
Oh wait.. #JusticeforGanapathy,['oh tunggu . <repeated> <hashtag> justiceforganapathy</hashtag>'],oh wait ,0
"#JusticeforGanapathy 

I have been singled out by police officers even as a Malay for looking a certain way. I can… https://t.co/S0kavt4yFz",['<hashtag>justiceforganapathy</hashtag> saya telah ada yang dipilih dengan pegawai polis walaupun terdapat malay untuk melihat tertentu cara. saya boleh ... <url>'], i have been singled out by police officers even as a malay for looking a certain way i can ,-1
"Police need to stop misuse their power 
#JusticeforGanapathy https://t.co/Co42fqW22J",['keperluan polis kepada berhenti penyalahgunaan kuasa <mereka hashtag>justiceforganapathy</hashtag> <url>'],police need to stop misuse their power ,-1
All of yall are so silent about it #JusticeforGanapathy  #MakeSchoolASaferPlace,['semua dari yall adalah silent kira-kira ia <hashtag>justiceforganapathy</hashtag> <hashtag>makeschoolasaferplace</hashtag>'],all of yall are so silent about it ,0
#JusticeforGanapathy,['<hashtag>justiceforganapathy</hashtag>'],,0
"@notsoaidil Justice for Ganapathy!
 
#JusticeforGanapathy
#JusticeforGanapathy
#JusticeforGanapathy… https://t.co/DQQARyuMLI",['<user> justice for ganapathy ! <hashtag> justiceforganapathy</hashtag> <hashtag> justiceforganapathy</hashtag> <hashtag> justiceforganapathy</hashtag> ... <url>'], justice for ganapathy ,1
#JusticeforGanapathy,['<hashtag>justiceforganapathy</hashtag>'],,0
ada yg boleh bagi link or explain what happen #JusticeforGanapathy,['ada yang boleh pautan untuk terangkan apa yang berlaku <hashtag> justiceforganapathy</hashtag>'],ada yg boleh bagi link or explain what happen ,0
"the IPCMC bill needs to be passed and implemented. all these police brutality cases are so sickening.
the governmen… https://t.co/omVQZfWKzt",['yang <allcaps> ipcc </allcaps> keperluan bil untuk diluluskan dan dilaksanakan. semua ini kekejaman kes polis jadi sakit. yang governmen ... <url>'],the ipcmc bill needs to be passed and implemented all these police brutality cases are so sickening the governmen ,-1
how many more persons should die in police custody before the IPCMC Bill is fully implemented &amp; enforced as law?… https://t.co/FiQWHKPVce,['Lebih banyak lagi orang sepatutnya masuk polis sebelum yang <allcaps> ipcc </allcaps> bil dilaksanakan dan dikuatkuasakan sebagai undang-undang ... <url>'],how many more persons should die in police custody before the ipcmc bill is fully implemented amp enforced as law ,-1
This deserves more attention! #JusticeforGanapathy,['ini layak mendapat perhatian lebih lagi ! <hashtag> justiceforganapathy </hashtag>'],this deserves more attention ,0
#JusticeforGanapathy,['<hashtag>justiceforganapathy</hashtag>'],,0
#JusticeforGanapathy,['<hashtag>justiceforganapathy</hashtag>'],,0
"I've heard their experience being discriminate at school, work even public. This sick! I DEMAND A JUSTICE FOR A. GA… https://t.co/WkpmVWRxlx","['ada yang mendengar pengalaman mereka menjadi diskriminasi sekolah pada, walaupun kerja awam. ini sakit ! <allcaps> saya menuntut keadilan untuk </allcaps>. ga ... <url>']",i ve heard their experience being discriminate at school work even public this sick i demand a justice for a ga ,-1
"#JusticeforGanapathy 
#StopPoliceBrutality 
#BrownLivesMatter https://t.co/aycUWVZhl5",['<hashtag>justiceforganapathy</hashtag> <hashtag>stoppolicebrutality</hashtag> <hashtag>brownlivesmatter</hashtag> <url>'],,0
Oh my god this is devastating. #JusticeforGanapathy https://t.co/Gci1khKtuW,['oh saya tuhan ini yang dahsyat . <hashtag> justiceforganapathy</hashtag> <url>'],oh my god this is devastating ,-1
