Raw,CD-Malaya,CD-RE,Polarity
"@k_izzuddin Diorang faham I kecewa sbb I semangat gila study untuk UPSR, hari2 study hard. Pagi skolah, ptg klas tm… https://t.co/Neio6lSU4p","<user> faham saya kecewa sebab gila belajar untuk <allcaps> upsr</allcaps>, hari2 belajar keras. pagi sekolah, petang kelas tm ... <url>", diorang faham i kecewa sbb i semangat gila study untuk upsr hari study hard pagi skolah ptg klas tm ,-1
"@firthism Same here, I was bullied by my classmates in year 5(2014) and my father died that year, the next year is… https://t.co/OAscEwKdIW","<user> sama di sini, saya dibuli dengan rakan sekelas masuk tahun <number> ( <number>) dan saya meninggal dunia tahun itu, yang masuk tahun depan bapa ... <url>", same here i was bullied by my classmates in year and my father died that year the next year is ,-1
kpm pikirla dlu pasal pt3 upsr smue bnde tu aku nk enjoy jgn petik pasal result dhla,kpm pikirlah dahulu pasal pt3 upsr semua bonda itu aku nak nikmati jangan petik pasal hasilnya,kpm pikirla dlu pasal pt upsr smue bnde tu aku nk enjoy jgn petik pasal result dhla,-1
"Bermula dgn upsr 2A 2B 1C, tpi spm diakhiri dengan 8A 1B https://t.co/LoG6BEIQfl","dengan upsr 2 a 2 b 1c, tapi spm diakhiri dengan 8 a 1 b <url>",bermula dgn upsr a b c tpi spm diakhiri dengan a b ,1
upsr repeat https://t.co/67qEkTXnuh,upsr ulangi <url>,upsr repeat ,0
"UPSR dalam kenangan !!! 
1996...",<allcaps> upsr</allcaps> dalam kenangan ! <repeated> <number>.<repeated>,upsr dalam kenangan ,-1
"@k_izzuddin UPSR tahun 2009. Tak tahu mcm mana boleh dapat 5A, tak jangka pun. Sbb rasanya mmg tak struggle. Masa r… https://t.co/PXO08BFSFs","<user> <allcaps> upsr</allcaps> tahun <number>. tidak tahu mana boleh tahu 5 a, tidak jangka. rasanya perjuangan tidak. pun boleh dilakukan kerana r ... <url>", upsr tahun tak tahu mcm mana boleh dapat a tak jangka pun sbb rasanya mmg tak struggle masa r ,1
UPSR is gone forever. Actually it's a bad idea by the government 🌚,<allcaps> upsr </allcaps> hilang selamanya. sebenarnya ia adalah idea buruk dengan kerajaan yang,upsr is gone forever actually it s a bad idea by the government ,-1
"UPSR 2011: 5A
Time ni cikgu aku macam tak percaya sebab aku dulu dikenali sebagai ratu tidur dalam kelas😔 https://t.co/htAltPkWWq",<allcaps> upsr</allcaps> <number>: 5 a masa ini cikgu aku tidak macam sebab dahulu aku dikenali sebagai ratu tidur dalam <url>,upsr atime ni cikgu aku macam tak percaya sebab aku dulu dikenali sebagai ratu tidur dalam kelas ,0
Sedihnya UPSR dah kena mansuh,sedihnya <allcaps> upsr</allcaps> dah mansuh kena,sedihnya upsr dah kena mansuh,-1
"upsr mansuh , pt3 batal , spm dengan stpm tunda .","upsr mansuh, pt3 batal, spm dengan stpm tunda.",upsr mansuh pt batal spm dengan stpm tunda ,-1
"Comeback result trial UPSR, 
UPSR 2006 is 2A 2B 1C 😶 https://t.co/TYPSocpCly","comeback hasilnya <allcaps> upsr</allcaps>, <allcaps> upsr</allcaps> <number> adalah 2 a 2 b 1c <url>",comeback result trial upsr upsr is a b c ,1
Alhamdulillah time upsr laa boleh berlagak pandai hahah https://t.co/KSNNUkKbLQ,alhamdulillah masa upsr lah berlaboleh gak pandai haha <url>,alhamdulillah time upsr laa boleh berlagak pandai hahah ,1
"UPSR sudah dimansuhkan.

Aku masih ingat lagi result UPSR aku tahun 1999.

2A 2B 1C",<allcaps> upsr</allcaps> sudah dimansuhkan. aku masih ingat hasilnya <allcaps> upsr</allcaps> aku tahun <number>. 2 a 2 b 1c,upsr sudah dimansuhkan aku masih ingat lagi result upsr aku tahun a b c,-1
Alhamdulillah muka straight A's UPSR 2015 ! https://t.co/z0MlQvH7tv https://t.co/sO6V5TUftb,alhamdulillah muka lurus a' s <allcaps> upsr</allcaps> <number> ! <url> <url>,alhamdulillah muka straight a s upsr ,1
UPSR tinggal kenangan? Aku yang batch PTS sekejap lagi dah lama tinggal kenangan. Sampai skrg tak boleh lupa pernah… https://t.co/lVfIOwomxJ,<allcaps> upsr </allcaps> tinggal kenangan? aku yang kumpulan <allcaps> pts </allcaps> sekejap lagi dah dah tinggal kenangan. tidak boleh sampai sekarang ... <url>,upsr tinggal kenangan aku yang batch pts sekejap lagi dah lama tinggal kenangan sampai skrg tak boleh lupa pernah ,-1
Sedih juga UPSR dimansuhkan. Aku batch terakhir UPSR 4 subjek. Dapat pula 4 A. Perghhh.,sedih juga <allcaps> upsr</allcaps> dimansuhkan. aku kumpulan terakhir <allcaps> upsr</allcaps> <number> subjek. pula <number> a. pertghh <elongated>.,sedih juga upsr dimansuhkan aku batch terakhir upsr subjek dapat pula a perghhh ,-1
Done merasa kena banding result UPSR. Tapi bukan aku la yg result teruk tu. Sepupu aku 🤣🤣. Membe bangang makcik aku… https://t.co/IRW2WUxQTz,siap kena banding hasilnya <allcaps> upsr </allcaps>. tetapi aku bukan lah yang berjaya hasilnya itu. sepupu aku. memjadi bangang makcik ... <url>,done merasa kena banding result upsr tapi bukan aku la yg result teruk tu sepupu aku membe bangang makcik aku ,-1
"(1988-2020) upsr dalam kenangan, Al-Fatihah.","( <nombor> - <nombor>) upsr kenangan dalam, al-fatihah.", upsr dalam kenangan al fatihah ,-1
@ahmadbelia Zaman dulu ada upsr ke.,<user>zaman dahulu ada upsr ke., zaman dulu ada upsr ke ,0
"4A 1B, B sains sbb dulu benci sains. Last² dh besar end up study Chemical Engineering in Bioprocess 🤣 Kenangan UPSR… https://t.co/urchlukyBT","4 a 1 b, b sains sebab benci sains dahulu. last2 dah naik akhir belajar kimia engineering masuk bioprocess kenangan <allcaps> upsr</allcaps> ... <url>",a b b sains sbb dulu benci sains last² dh besar end up study chemical engineering in bioprocess kenangan upsr ,-1
(UPSR 2014) 2A 2B 1C. Batch tersakiti paling banyak repeat paper upsr😍👍 https://t.co/Fll0t4HF3e,( <allcaps> upsr</allcaps> <number>) 2 a 2 b 1c. tersakiti paling banyak ulangi kertas upsr <url>, upsr a b c batch tersakiti paling banyak repeat paper upsr ,-1
UPSR dimansuhkan!?? Sia2 aku dapat straight A tapi adik2 sedara ngan anak2 buah aku tak tahu sebab zaman depa dh takde UPSR😩,<allcaps> upsr </allcaps> dimansuhsuhsuhkan ? <repeated> sia2 aku boleh lurus a but adik2 dengan sedara anak2 aku tak tahu tahu zaman dah tak mereka ada <allcaps> upsr</allcaps>,upsr dimansuhkan sia aku dapat straight a tapi adik sedara ngan anak buah aku tak tahu sebab zaman depa dh takde upsr ,-1
"like, if we doesn't even get good results for upsr. not that we couldn't do well in sekolah menengah. aigoo https://t.co/K4GiA9l1Iw","Seperti, jika kami tidak mendapat keputusan baik untuk upsr. kami tidak boleh masuk ke sekolah menengah. eigo <url>",like if we doesn t even get good results for upsr not that we couldn t do well in sekolah menengah aigoo ,1
@k_izzuddin trial 4A1B haha upsr syukurlah dapat 5A 😂,<user> percubaan 4 a1b haha upsr syukurlah dapat 5 a, trial ab haha upsr syukurlah dapat a ,1
@hanifjamals Wow. Stress psal UPSR? Haha aku tak kisah pon pasal exam time aku skolah rendah dlu. Study pon idok .R… https://t.co/0REeKH23iX,<user> wow. tres fosil <allcaps> upsr </allcaps>? haha aku tidak pun pasal pun peperiksaan masa aku dahulu sekolah rendah. belajar belajar idok pun. r ... <url>, wow stress psal upsr haha aku tak kisah pon pasal exam time aku skolah rendah dlu study pon idok r ,-1
Masa aku darjah 6 aku ada member baik nama danial gak. Boleh kata tiap2 minggu aku dgn dia gaduh dgn org. Cita2 nak… https://t.co/lb6gmYprpS,masa aku darjah <number> aku ada ahli ahli baik nama danial juga. boleh kata tiap2 minggu aku dengan dia gaduh dengan orang. cita2 nak ... <url>,masa aku darjah aku ada member baik nama danial gak boleh kata tiap minggu aku dgn dia gaduh dgn org cita nak ,0
"@seajaill EU NEM QUERIA ESSE VELHOTE, EU TAVA DANDO PULL DE ZOEIRA, mas agora vou upsr","<user> <allcaps>eu nemo querida hesse velhote</allcaps>, <allcaps>eu tuva dinda ada tarik zoeira</allcaps>, mas agora vous upsr",,0
Rindu pulak dengan UPSR ni.,rindu pula <allcaps>upsr</allcaps> ini.,rindu pulak dengan upsr ni ,1
upsr je la last pandai,upsr sahaja lah akhir pandai,upsr je la last pandai,-1
"3A 2B

3 kali percubaan skali je 4A1B yg lain semua 5A. Tpi sbbkn time tu nk acah2 rebel xnk kne anto prgi boarding… https://t.co/rNNPaKffFk",3 a 2 b <number> kali percubaan sekali 4 a1b yang lain semua 5 a. tapi sbbkn masa nak itu nak acah2 memberontak xenik kena hantu boarding... <url>,a b kali percubaan skali je ab yg lain semua a tpi sbbkn time tu nk acah rebel xnk kne anto prgi boarding ,0
"@k_izzuddin 2000 UPSR SEKOLAH KEBANGSAAN SERI PAKA, TERENGGANU
2A 2B 1C
HAHAHA boleh la masa ni ngongoi nangis.. tu… https://t.co/93lemyvwmE","<user> <number> <allcaps> upsr sekolah kebangsaan seri paka</allcaps>, <allcaps> terengganu</allcaps> 2 a 2 b 1c <allcaps> hahaha</allcaps> lah ini ngongoi masa . <repeated> itu ... <url>", upsr sekolah kebangsaan seri paka terengganua b chahaha boleh la masa ni ngongoi nangis tu ,-1
@dyanaufa1 @masfaizhakim Means there wont be upsr in the future,<user> <user> bermaksud di sana tidak jadi upsr masuk yang mana masa depan, means there wont be upsr in the future,-1
berkat buat pembetulan semua soalan exam sains akhirnya upsr dpt B. https://t.co/fi4oLGdBxh,berkat pembetulan buat semua peperiksaan akhirnya sains upsr dapat b. <url>,berkat buat pembetulan semua soalan exam sains akhirnya upsr dpt b ,1
"UPSR - 4A
PT3 - 4A
SPM - 1A
Diploma - 2.93

Kesimpulannya asal aku makin bengap, tapi takpe lantak!! Mekasih Abi Um… https://t.co/F0yXv70wSN","<allcaps>upsr</allcaps> - 4 a pt3 - 4 a <allcaps>spm</allcaps> - 1 a Diploma - <number>kesimpulasal aku makin bengap, mengapa tidak lantak ! <repeated>mekasih abi um... <url>",upsr apt aspm adiploma kesimpulannya asal aku makin bengap tapi takpe lantak mekasih abi um ,-1
"Upsr la zaman aku bijak, masuk sekolah menengah haram belajar ke mana hahahahahaha https://t.co/eT73SD8pX5","upsr lah zaman aku bijak, masuk sekolah menengah haram belajar ke mana hahahahaha <url>",upsr la zaman aku bijak masuk sekolah menengah haram belajar ke mana hahahahahaha ,1
upsr last i pandai. masuk smk terus... OUT https://t.co/y945YK85UC,upsr akhir saya pandai. masuk smk terus. <repeated> <allcaps> keluar </allcaps> <url>,upsr last i pandai masuk smk terus out ,-1
@k_izzuddin 3A 2B (2006). But now buat phd. So i think upsr tak menentu kan segalanya just nak buat student rasa exam besar.,<user>3 a 2 b ( <number>). buat masa ini phd. jadi saya rasa upsr tidak mententu kan kan segalanya nak buat buat sekolah besar peperiksaan., a b but now buat phd so i think upsr tak menentu kan segalanya just nak buat student rasa exam besar ,0
@stormweather0 Kak upsr kak bukan spm bukan pt3,<user> kak upsr kak bukan spm bukan pt3, kak upsr kak bukan spm bukan pt,0
Jadi.. exam tahun 5 ni nak dedahkan dengan format apa.. upsr da mansuh.. 😅,jadi. <repeated> peperiksaan tahun <number> ini nak dedahkan dengan format apa. <repeated> upsr dah mansuh. <repeated>,jadi exam tahun ni nak dedahkan dengan format apa upsr da mansuh ,0
"Kesiannya, hm time upsr la bole jadi budak pandai hahahahhsjd https://t.co/c1VJCBeLDR","angkesinya, hama masa upsr lah jadi budak pandai hahahhsjd <url>",kesiannya hm time upsr la bole jadi budak pandai hahahahhsjd ,-1
@k_izzuddin Yang ingat 7subject je😂 gred tak ingt dah. Upsr 2012,<user> yang ingat 7 subjek sahaja gred tidak ingat dah. upsr <number>, yang ingat subject je gred tak ingt dah upsr ,0
2B 2C 1D nasib baik upsr kalau spm hancurs https://t.co/JDNCeznCQv,2 b 2c 1 di nasib baik upsr kalau spm hancur <url>,b c d nasib baik upsr kalau spm hancurs ,-1
Upsr taught me that I’m not stupid,upsr diajar saya itu saya tidak bodoh,upsr taught me that i m not stupid,1
at least now i’ll forever hold the record of best upsr and pt3 results among my cousins 😆👍🏻,sekurang-kurangnya sekarang saya akan bertahan dengan rekod yang terbaik dari hasil upsr dan pt3 antara saya sepupu,at least now i ll forever hold the record of best upsr and pt results among my cousins ,1
