CD-RE,Polarity
time raya juak sik merentas grinning face bazaar bukak hear no evil monkey kali rah bazaar sikda covid kkya time raya covid auto ada,1
guna saluran betul tak sah isu sekurang kurangnya ada penyelesaian gu,-1
kata melayu isle konservatif takleh kawal emosi amp nafsu natang liar dayus uta,-1
tak ajak rakyat sertai berbuka kerajaan kerajaan pn prihatin jadi tak salah ajakan rakyat menjadi,-1
,0
errr no musuh,-1
bulan ramadhan setan digari byk setan diam amp kerosakan berlaku byk,-1
isu lepatu lepastu fazura,0
,0
tuu rakyat malaysia kena bersatu tak payah peduli vvip menteri selebriti sesiapa peeg betul,0
menteri cetuskan gelombang covid masa patut masuk penjara giler lucutkan jawatan bayar pampasan,-1
,0
fvck malaysia hati rosak,-1
tahu menang ikut kerajaan duduk dirumah s,0
media tak berfungsi,-1
tiga perkara perlu tweet fazura tidur,0
dimana tuju hala malaysia,0
kerajaan sialan ya,-1
tinggal malaysia keputusan pemerintah lucu lucu,-1
sedar ada beria saman last2 jadi kambing hitam abis rakyat kutuk mcm2,-1
tahu kau inisiatif cerita hari teruk,-1
adakah orang malaysia bersiap sedia membiarkan berlaku,0
elaun khas rm200 sebulan anggota tentera polis kastam imigresen angkatan anggota pertahanan awam anggota tentera,1
Malaysia sayang memperbaiki tidak memerlukan mendengar dikatakan orang orang bertindak sesuai,1
kerajaan negeri power thumbs up thumbs up thumbs up,1
1 rule living in malaysia dilarang jadi miskin,-1
telur easter avengers,0
membuatnya,0
,0
cobain jadi orang susah biar tahu gimana rasanya dihina orang berduit,-1
raya 2020 2021 bermaksud kunjung mengunjungi untuk rapatkan siratulrahim kunjung meng,1
disebabkan malas,0
malaysia tenat,-1
malaysia nak ya tolong allah kemain pergi baazar tar,0
,0
kerajaan baik tambah aplikasi mysejahtera orang ramai mendaftarkan program vaksinasi bapa ibu datuk,1
Bantuan khas 50 000 ada kesan sampingan penerima vaksin rm500 000 hilang u,1
pelan halatuju strategik e dagang 2 0 nesr 2 0 manjadi pemangkin pertumbuhan sistem ekoe dagang malaysia adal,1
,0
malaysia berjaya memperoleh 10 000 tambahan kuota haji menjadikan kuota rasmi haji malaysia 41 orang berjumlah 41 600 orang,1
ya tuan ingat kerajaan 8374 tak fungsi tahu puncanya,0
peka b40 bertujuan keperluan untuk kesihatan menampung golongan rendah berpendapatan memberi fokus,1
inisiatif kerajaan mysalam menyediakan perlindungan kesihatan takaful individu b40 pener,1
i sinar dibuka ahli kwsp terjejas pendapatan akibat covid 19,1
belanjawan 2021 tambahan kadar berkanun karuman syer pekerja untuk kwsp baru 9 menjadi,1
bantuan 180 bentuk kredit telekomunikasi untuk perbelanjaan langganan internet menampung seba,1
bertujuan program meningkatkan kadar peningkatan digital kalangan rakyat b40 belia warga emas,1
4000 warga atm terima bantuan musaadah terima rm800 000,1
2 195 laman sesawang judi talian disekat skmm,0
bulan ramadhan semoga allah makbulkan doa2 rakyat teraniya al,1
institut keselamatan kesihatan pekerjaan negara niosh platform asas latihan keselamatan jalan ra,1
pakej bantuan khas permai 2021 bantuan bantuan 500 pemandu pelancong pemandu pemandu bas,1
ptptmereka n terjejas memohon moratorium bayaran balik pinjaman tiga bulan 31 mac,1
pakej bantuan khas permai 2021 pelepasan cukai khas rm2 500 untuk pembelian telefon bimbit komputer bimbit,1
pakej bantuan khas permai 2021 program subsidi upah untuk tempoh satu bulan majikan layak,1
pakej bantuan khas permai 2021 rm50 juta disalur nadma perbelanjaan operasi bencana semasa mon,1
merangkumi bantuan prihatin nasional bpn 2 0 rm7 bilion program subsidi upah 2 0 rm2 untuk,1
pelaksanaan tempoh pkp bantuan moratorium bayaran balik pinjaman disediakan malam,1
Saya mahu mengatakan,0
geran khas rm3 000 bawah pakej rangsangan ekonomi prihatin pks seti,1
insentif cukai untuk pembelian kereta 897 juta,1
pakej pelan jana ekonomi penjana negara awal jun mengumumkan pengecualian cukai jualan sepenuh,1
24 geran secara bawah satu off 5 000 pengendali taska berdaftar pembangunan kementerian,0
25 subsidi pengangkutan awam my30 rm200 juta,1
memalukan ada profesor kangkung kaki fitnah kaki perkauman,-1
,0
sakit hati everytime scrolling timeline twitter this week there sooo many sick news amp issues betul2,-1
biarkan hashtag menjadi tren untuk 24 kedua 7 7 hari seminggu marilah memilih memimpin st,0
,0
,0
pilihan raya datang kena fikir 100x nak pangkah senyum muka cukup zalim kena lega muka,-1
nak cakap dato seri hari2 doa2 pemimpin2 zalim ada malaysia mati,-1
,0
,0
judi number wan toke kata takpe duit hahahaha,-1
kasino gt pendidikan,0
takda otak kompaun 50k mnjdi jdi orang nak cri spruh tak mati perlu l,-1
iz one disbanded salah,-1
orang gagal salahkan 1mdb,-1
boneka,0
tidak peduli etos membiarkan organisasi berlaku kebenarannya,-1
,0
sesungguhnya merindui nak teraweh masjid,1
mp katakan orang India mendapat keadilan akauntabiliti integriti polisi,0
berikan parlimen kerusi tidak mahu menggunakannya,-1
,0
,0
tiba masanya malaysia bangkit ditekan,0
belajar penampilan spore pls sibodoh diklasifikasikan india,-1
kerajaan,0
,0
,0
kali bangun mahukan berada negara,-1
terima kasih,1
