,Raw,CD-RE,Polarity
0,#NAME?,emco dikuatkuasakan kawasan pahang mulai esok,-1
2,"Highlights from Defence Minister Datuk Seri @IsmailSabri60's COVID-19 media statement: 

- an EMCO will be enforced… https://t.co/7iAjRSJTMq",sorotan menteri pertahanan datuk seri covid 19 kenyataan media emco dikuatkuasakan,-1
3,"Malaysia's number of new #COVID19 cases reached over 3,000, after the Health Ministry recorded 3,142 infections tod… https://t.co/eQ3RA4ZwOI",malaysia s number of new cases reached over 3 000 after health ministry recorded 3 142 infections tod,-1
4,"#PetrolPrices: Here are the petrol prices effective tomorrow, April 29th until May 5th.

#RON95 remains at RM 2.05… https://t.co/ggCTmxKB1n",berikut harga petrol berkuat kuasa esok 29 April 5 kekal rm 2 05,0
5,Vaksin AstraZeneca akan diberi secara sukarela bermula di Kuala Lumpur dan Selangor dengan konsep siapa cepat dia d… https://t.co/4iWA5QQzmX,vaksin astrazeneca diberi secara sukarela bermula kuala lumpur konsep selangor cepat d,1
6,There are mixed reactions from parents about the government's move to impose a nationwide school closure after the… https://t.co/hofxkxxIq7,ada reaksi bercampur campur ibu bapa mengenai langkah kerajaan mengenakan penutupan sekolah negara selepas,0
7,"Highlights from Education Minister Dr @RadziJidin's PC:

- the PT3 examination for 2021 has been cancelled

- start… https://t.co/tA4XtroV7t",highlights from education minister pc the pt3 examination for 2021 has cancelled start,0
8,Dakwaan kononnya larangan rentas daerah berkuat kuasa 5 hari sebelum &amp; selepas Aidilfitri yang sedang viral adalah… https://t.co/u6OJ3k6BiH,dakwaan kononnya larangan rentas berkuat kuasa 5 hari amp aidilfitri viral,0
9,Haiqal Hanafi teruja untuk kembali jalani latihan di bawah kendalian Poad Md Kassim https://t.co/hTWFblrl4c https://t.co/O2lcirC0cu,haiqal hanafi teruja untuk kembali jalani latihan bawah kendalian poad md kassim,1
10,"6 penuntut matrikulasi di Perak yang viral kerana dikompaun RM1,500 ekoran tidak memakai pelitup boleh menarik nafa… https://t.co/YlP64FrM3w",6 penuntut matrikulasi perak viral dikompaun rm1 500 tidak pelitup menarik nafa,0
