Raw,CD-Malaya,CD-RE,Polarity
0301h:Aliran trafik bergerak lancar dan terkawal ke semua arah sepanjang lebuhraya. Cuaca baik. Patuhi arahan Perin… https://t.co/Fe2CfiRkyv,0 3 0 1 h : aliran trafik bergerak lancar dan terkawal ke semua arah sepanjang lebuhraya . cuaca baik . patuhi arahan perin … <url>,h aliran trafik bergerak lancar dan terkawal ke semua arah sepanjang lebuhraya cuaca baik patuhi arahan perin ,1
"🔰PERGERAKAN 14 HARI TABURAN KES COVID-19 MENGIKUT MUKIM 
Di Negeri Kedah 

Sumber: Pejabat Kesihatan Negeri Kedah… https://t.co/XnCMvrBtKZ",🔰 <allcaps> pergerakan </allcaps> <number> <allcaps> hari taburan kes covid </allcaps> - <number> <allcaps> mengikut mukim </allcaps> di negeri kedah sumber : pejabat kesihatan negeri kedah … <url>, pergerakan hari taburan kes covid mengikut mukim di negeri kedah sumber pejabat kesihatan negeri kedah ,0
"@PerakTheYob Harap2 takde kluster baru lgi kt Perak, (08) please #KitaJagaKita","<user> harap2 tak ada kluster baru lagi kat perak , ( <number> ) tolong <hashtag> kitajagakita </hashtag>", harap takde kluster baru lgi kt perak please ,0
"Dukacita 🔰2️⃣ KLISTER BARU
Di Negeri Kedah 

Sumber: Pejabat Kesihatan Negeri Kedah

#lindungidiri
#lindungisemua… https://t.co/FLwPFtabc3",dukacita 🔰 <number> ️ ⃣ <allcaps> klister baru </allcaps> di negeri kedah sumber : pejabat kesihatan negeri kedah <hashtag> lindungidiri </hashtag> <hashtag> lindungisemua </hashtag> … <url>,dukacita klister barudi negeri kedah sumber pejabat kesihatan negeri kedah ,-1
"Dukacita 🔰KLUSTER PINTU AIR RELAU
Di Negeri Kedah 

Sumber: Pejabat Kesihatan Negeri Kedah

#lindungidiri… https://t.co/yUpxmymii1",dukacita 🔰 <allcaps> kluster pintu udara relau </allcaps> di negeri kedah sumber : pejabat kesihatan negeri kedah <hashtag> lindungidiri </hashtag> … <url>,dukacita kluster pintu air relaudi negeri kedah sumber pejabat kesihatan negeri kedah ,-1
"Glad that I restrain mak from merentas negeri few week ago. i hate it when they said 'alah rentas ja negeri, polis… https://t.co/MkUpDngHnM","glad itu saya menahan diri mak dari merentas negeri beberapa rambut palsu ago . saya benci ia bila they kata ' alah rentas sahaja negeri , polis … <url>",glad that i restrain mak from merentas negeri few week ago i hate it when they said alah rentas ja negeri polis ,1
"Dukacita 🔰KLUSTER LAYAR HUJUNG, 
Di Negeri Kedah 

Sumber: Pejabat Kesihatan Negeri Kedah

#lindungidiri… https://t.co/KHqe0Q4J9k","dukacita 🔰 <allcaps> kluster layar hujung </allcaps> , di negeri kedah sumber : pejabat kesihatan negeri kedah <hashtag> lindungidiri </hashtag> … <url>",dukacita kluster layar hujung di negeri kedah sumber pejabat kesihatan negeri kedah ,-1
"lagi sekali,free marketing daripada kita semua untuk dia

#KitaJagaKita #RakyatJagaRakyat #KitaMintaLima… https://t.co/k49CAypJiU","lagi sekali , percuma Pemasaran daripada kita semua untuk dia <hashtag> kitajagakita </hashtag> <hashtag> rakyatjagarakyat </hashtag> <hashtag> kitamintalima </hashtag> … <url>",lagi sekali free marketing daripada kita semua untuk dia ,0
"orang macam tu pun hangpa jadikan idola

#KitaJagaKita #RakyatJagaRakyat #KitaMintaLima #kitasemuajebat… https://t.co/N4ut8npJb5",orang macam itu pun hangpa jadikan idola <hashtag> kitajagakita </hashtag> <hashtag> rakyatjagarakyat </hashtag> <hashtag> kitamintalima </hashtag> <hashtag> kitasemuajebat </hashtag> … <url>,orang macam tu pun hangpa jadikan idola ,0
"cerita dia,kenapa masih ramai yang follow lagi dia eh? cuba kalau karya kawan-kawan hangpa yang kena plagiat,masa t… https://t.co/SOZpKmEQRk","cerita dia , kenapa masih ramai yang ikuti lagi dia eh ? cuba kalau karya kawan-kawan hangpa yang kena plagiat , masa t … <url>",cerita dia kenapa masih ramai yang follow lagi dia eh cuba kalau karya kawan kawan hangpa yang kena plagiat masa t ,0
"platforming in souls game selalunya a shitty experience,stop it

#KitaJagaKita #RakyatJagaRakyat #KitaMintaLima… https://t.co/mLBKoppd1b","platforming masuk souls permainan selalunya a shitty pengalaman , berhenti ia <hashtag> kitajagakita </hashtag> <hashtag> rakyatjagarakyat </hashtag> <hashtag> kitamintalima </hashtag> … <url>",platforming in souls game selalunya a shitty experience stop it ,-1
malaysia nak mcm ni ke? ye #KerajaanGagal  tapi please jgn lupa #KitaJagaKita  ini Allah kemain semua g baazar tar… https://t.co/itWp9eP2nc,malaysia nak macam ini ke ? ya <hashtag> kerajaangagal </hashtag> tetapi tolong jangan lupa <hashtag> kitajagakita </hashtag> ini allah kemain semua pergi baazar tar … <url>,malaysia nak mcm ni ke ye tapi please jgn lupa ini allah kemain semua g baazar tar ,0
"📌Link group tempahan t-shirt SOHOR ⬇️
https://t.co/1Q0OMwLZy8

Sebarang pertanyaan @ masalah,hubungi :
📲… https://t.co/mfNvfTZFTW","📌 pautan kumpulan tempahan t-shirt <allcaps> terkenal </allcaps> ⬇️ <url> sebarang pertanyaan @ masalah , hubungi : 📲 … <url>", link group tempahan t shirt sohor sebarang pertanyaan masalah hubungi ,0
@khalids @ShaficqDeclan Welcome bro. #KitaJagaKita 😆,<user> <user> selamat datang abang . <hashtag> kitajagakita </hashtag> 😆, welcome bro ,0
".
GARAGE FC 0-4 KKFC

_

Tamat perlawanan di antara KKFC dan Garage FC dengan keputusan berpihak kepada KKFC dengan… https://t.co/A4HGKFXdf8",. <allcaps> garaj fc </allcaps> <number> - <number> <allcaps> kkfc </allcaps> _ tamat perlawanan di antara <allcaps> kkfc </allcaps> dan garaj fc dengan keputusan berpihak kepada <allcaps> kkfc </allcaps> dengan … <url>, garage fc kkfc_tamat perlawanan di antara kkfc dan garage fc dengan keputusan berpihak kepada kkfc dengan ,0
"Rasanya covid ni x g kat yg melancong kot, yg balik kg jer covid suka #KitaJagaKita","rasanya covid ini tak pergi dekat yang melancong mungkin , yang balik kampung sahaja covid suka <hashtag> kitajagakita </hashtag>",rasanya covid ni x g kat yg melancong kot yg balik kg jer covid suka ,0
"Tambahnya, sebagaimana SOP terdahulu, pergerakan rentas negeri masih tidak dibenarkan kecuali bagi aktiviti pelanco… https://t.co/kNS7EQHjZM","tambahnya , sebagaimana <allcaps> tatacara pengendalian piawai </allcaps> terdahulu , pergerakan rentas negeri masih tidak dibenarkan kecuali bagi aktiviti pelanco … <url>",tambahnya sebagaimana sop terdahulu pergerakan rentas negeri masih tidak dibenarkan kecuali bagi aktiviti pelanco ,0
"#scholarship
#ptptn
#diploma
#degree
#staysafe
#stayhome
#stayclean
#kitajagakita
#kitapastimenang",<hashtag> biasiswa </hashtag> <hashtag> ptptn </hashtag> <hashtag> Diploma </hashtag> <hashtag> ijazah </hashtag> <hashtag> staysafe </hashtag> <hashtag> stayhome </hashtag> <hashtag> stayclean </hashtag> <hashtag> kitajagakita </hashtag> <hashtag> kitapastimenang </hashtag>,,0
"#stpm
#institusipengajiantinggi
#highereducation
#instastudy
#biasiswa
#scholarship
#ptptn
#diploma
#degree… https://t.co/PjYAHcPu6h",<hashtag> stpm </hashtag> <hashtag> institusipengajiantinggi </hashtag> <hashtag> highereducation </hashtag> <hashtag> instastudy </hashtag> <hashtag> biasiswa </hashtag> <hashtag> biasiswa </hashtag> <hashtag> ptptn </hashtag> <hashtag> Diploma </hashtag> <hashtag> ijazah </hashtag> … <url>,,0
@sunghoonfairyy Thank you so much for this❤️ semoga dimurahkan rezeki selalu dan semoga awak sekeluarga dilindungi… https://t.co/JA2ufLDg5l,<user> terima kasih awak jadi banyak untuk this ❤️ semoga dimurahkan rezeki selalu dan semoga awak sekeluarga dilindungi … <url>, thank you so much for this semoga dimurahkan rezeki selalu dan semoga awak sekeluarga dilindungi ,1
"#scholarship
#ptptn
#diploma
#degree
#staysafe
#stayhome
#stayclean
#kitajagakita
#kitapastimenang",<hashtag> biasiswa </hashtag> <hashtag> ptptn </hashtag> <hashtag> Diploma </hashtag> <hashtag> ijazah </hashtag> <hashtag> staysafe </hashtag> <hashtag> stayhome </hashtag> <hashtag> stayclean </hashtag> <hashtag> kitajagakita </hashtag> <hashtag> kitapastimenang </hashtag>,,0
The only way for us to progress as a nation is we start helping ourselves now!! Pls follow all the SOP to stop the… https://t.co/PUOPufRms3,yang sahaja cara untuk kami kepada kemajuan sebagai a bangsa adalah kami mula membantu diri kita sendiri now ! <repeated> tolong ikuti semua yang <allcaps> tatacara pengendalian piawai </allcaps> kepada berhenti yang … <url>,the only way for us to progress as a nation is we start helping ourselves now pls follow all the sop to stop the ,1
"Salam Ramadan dari saya sekeluarga ,semoga Ramadan kali ini lebih bermakna daripada sebelom ini , walaupun covid-19… https://t.co/J5gbzSehGf","salam ramadan dari saya sekeluarga , semoga ramadan kali ini lebih bermakna daripada sebelom ini , walaupun covid - <number> … <url>",salam ramadan dari saya sekeluarga semoga ramadan kali ini lebih bermakna daripada sebelom ini walaupun covid ,1
"Pada 28 April  2021
Bersamaan 16 Ramadhan 1442H

Salam Nuzul Al-Quran ikhlas daripada Warga Kerja JKR Daerah Timur… https://t.co/vXj65Spdvq",pada <date> bersamaan <number> ramadhan 1 4 4 2 h salam nuzul al-quran ikhlas daripada warga kerja <allcaps> jkr </allcaps> daerah timur … <url>,pada april bersamaan ramadhan hsalam nuzul al quran ikhlas daripada warga kerja jkr daerah timur ,1
"Selamat berbuka puasa Ramdhan ke 15 

Majlis iftar ramdhan di hotel pearl KL

Bersama-sama boss dan staff semua😊😊😊… https://t.co/p7aS31IaC0",selamat berbuka puasa ramdhan ke <number> majlis iftar ramdhan di hotel mutiara kuala lumpur bersama-sama bos dan staf semua 😊 😊 😊 … <url>,selamat berbuka puasa ramdhan ke majlis iftar ramdhan di hotel pearl klbersama sama boss dan staff semua ,1
Mudah-mudahan kita mengambil peluang dalam bulan penuh barakah ini untuk meningkatkan mutu dan nilai ibadah seharia… https://t.co/Ce8yPY5TcN,mudah-mudahan kita mengambil peluang dalam bulan penuh barakah ini untuk meningkatkan mutu dan nilai ibadah seharia … <url>,mudah mudahan kita mengambil peluang dalam bulan penuh barakah ini untuk meningkatkan mutu dan nilai ibadah seharia ,1
"Dapatkan ubat lancarhaid&amp;ubat gugurkandungan yang terbukti keberkesanannya,selamat,tiada kesansampingan dan diperca… https://t.co/kQbYeGEmC8","dapatkan ubat lancarhaid dan ubat gugurkandungan yang terbukti keberkesanannya , selamat , tiada kesansampingan dan diperca … <url>",dapatkan ubat lancarhaid amp ubat gugurkandungan yang terbukti keberkesanannya selamat tiada kesansampingan dan diperca ,0
Power corrupts men. Please have the same energy as you did for BLM #JusticeforGanapathy #KitaJagaKita,kuasa corrupts lelaki . tolong ada yang sama tenaga sebagai awak lakukan untuk <allcaps> belum </allcaps> <hashtag> justiceforganapathy </hashtag> <hashtag> kitajagakita </hashtag>,power corrupts men please have the same energy as you did for blm ,1
"#MBKT
#KualaTerengganu
#PatuhiPKPP
#KitaJagaKita https://t.co/qfv8CLMPfZ",<hashtag> mbkt </hashtag> <hashtag> kualaterengganu </hashtag> <hashtag> patuhipkpp </hashtag> <hashtag> kitajagakita </hashtag> <url>,,0
"Salam Nuzul Al-Quran bersamaan 17 Ramadhan 1442H kepada muslimin dan muslimat. 

Bersama-sama kita menyemarakkan hi… https://t.co/sEsw01XZgz",salam nuzul al-quran bersamaan <number> ramadhan 1 4 4 2 h kepada muslimin dan muslimat . bersama-sama kita menyemarakkan hi … <url>,salam nuzul al quran bersamaan ramadhan h kepada muslimin dan muslimat bersama sama kita menyemarakkan hi ,1
